sprint_id,team_size,sprint_duration_weeks,velocity,defect_rate,req_change_count,team_sentiment,timezone_offset_hours,fixed_price_contract,unproven_tech_flag,budget_burn_percent,is_high_risk,velocity_trend,defect_trend,timezone_risk_score,budget_constraint
SPRINT_0070,8,1,14.0,0.184,4,3.7,5,0,0,60.5,0,3.6,0.009,0,1
SPRINT_0071,8,2,26.8,0.204,0,2.3,8,1,0,30.8,0,-3.9,0.032,1,0
SPRINT_0072,4,2,26.7,0.158,3,4.2,5,1,1,83.8,1,0.5,-0.011,0,1
SPRINT_0073,6,1,24.7,0.228,4,3.3,4,1,0,61.4,0,0.1,-0.005,0,1
SPRINT_0074,8,1,26.0,0.099,1,2.0,5,0,0,58.1,0,-2.2,0.023,0,1
SPRINT_0075,7,2,22.1,0.167,1,3.4,5,1,0,25.4,0,3.2,-0.014,0,0
SPRINT_0076,4,2,14.5,0.341,2,4.8,8,1,0,75.6,1,2.5,-0.044,1,1
SPRINT_0077,4,1,17.0,0.127,4,2.0,7,1,1,8.2,1,2.3,-0.043,1,0
SPRINT_0078,6,1,12.7,0.247,2,4.2,4,0,1,92.4,0,3.8,-0.038,0,1
SPRINT_0079,4,1,31.6,0.148,0,2.2,8,1,0,32.6,0,2.2,0.037,1,0
SPRINT_0080,4,1,23.2,0.282,4,4.1,5,1,1,12.8,1,-2.7,-0.003,0,0
SPRINT_0081,8,1,18.4,0.089,0,3.9,5,1,1,44.2,0,2.1,0.021,0,1
SPRINT_0082,6,2,20.0,0.341,2,2.5,7,0,0,4.2,0,-1.9,-0.011,1,0
SPRINT_0083,8,2,32.6,0.186,4,2.6,4,0,1,68.5,0,-2.6,-0.024,0,1
SPRINT_0084,8,2,12.0,0.121,2,4.1,4,1,0,90.3,0,-4.3,-0.015,0,1
SPRINT_0085,6,2,23.2,0.072,4,3.0,6,0,1,83.7,0,2.4,0.029,1,1
SPRINT_0086,3,1,21.2,0.101,2,3.9,4,0,1,12.7,0,2.1,0.013,0,0
SPRINT_0087,8,1,23.9,0.206,1,2.0,7,0,1,12.6,0,-2.7,0.044,1,0
SPRINT_0088,7,1,8.5,0.151,2,4.3,6,1,0,81.3,0,2.5,0.018,1,1
SPRINT_0089,7,2,30.7,0.299,1,3.8,6,1,1,92.4,1,4.2,0.007,1,1
SPRINT_0090,4,2,32.2,0.179,2,4.5,5,0,0,46.1,0,-3.9,0.011,0,1
SPRINT_0091,7,1,22.7,0.125,4,1.9,5,0,0,49.9,0,-2.7,0.044,0,1
SPRINT_0092,4,1,26.1,0.235,4,3.5,4,0,1,31.8,0,2.5,0.029,0,0
SPRINT_0093,3,2,32.0,0.262,4,3.5,6,1,0,89.4,1,-2.3,-0.048,1,1
SPRINT_0094,6,2,26.4,0.1,3,2.7,5,1,1,64.5,0,1.2,0.003,0,1
SPRINT_0095,6,1,12.0,0.1,0,3.0,7,0,0,28.8,0,-4.2,0.019,1,0
SPRINT_0096,6,1,23.0,0.061,4,1.6,5,0,0,29.9,0,-0.5,0.025,0,0
SPRINT_0097,7,2,23.8,0.271,1,4.0,5,0,1,89.1,0,2.4,-0.029,0,1
SPRINT_0098,3,1,19.0,0.249,4,3.3,6,0,1,1.4,0,1.9,0.037,1,0
SPRINT_0099,7,1,27.1,0.192,3,1.7,6,1,1,32.3,1,3.2,0.046,1,0
SPRINT_0100,7,1,32.3,0.303,1,3.7,8,0,1,55.4,0,3.8,-0.026,1,1
SPRINT_0101,3,2,32.1,0.292,3,3.0,7,1,0,14.8,0,2.7,0.038,1,0
SPRINT_0102,3,2,19.7,0.226,1,1.6,6,0,0,9.2,0,1.7,-0.04,1,0
SPRINT_0103,3,2,10.9,0.31,2,4.7,4,0,0,81.5,0,-4.7,-0.044,0,1
SPRINT_0104,3,2,33.6,0.112,0,4.6,7,0,1,89.4,0,0.3,-0.037,1,1
SPRINT_0105,6,2,29.8,0.084,0,3.2,7,0,0,82.4,0,-4.6,-0.044,1,1
SPRINT_0106,5,2,11.2,0.131,3,1.8,6,0,1,89.9,0,3.1,0.035,1,1
SPRINT_0107,5,2,31.9,0.067,0,4.0,7,1,0,55.3,0,-1.8,-0.044,1,1
SPRINT_0108,3,1,30.6,0.209,3,3.1,6,0,1,81.2,0,0.6,-0.023,1,1
SPRINT_0109,5,1,21.5,0.331,3,2.5,5,0,0,38.4,0,-2.2,-0.04,0,0
SPRINT_0110,5,1,23.4,0.062,3,3.1,8,0,0,66.6,0,2.8,-0.02,1,1
SPRINT_0111,3,1,18.4,0.087,0,3.2,5,1,1,98.9,0,3.9,-0.041,0,1
SPRINT_0112,5,1,9.4,0.186,3,3.4,6,1,0,22.6,0,-1.0,0.017,1,0
SPRINT_0113,7,1,16.7,0.33,0,3.0,6,1,1,39.0,1,3.6,-0.037,1,0
SPRINT_0114,4,1,28.9,0.145,3,3.5,5,1,0,48.0,0,-2.3,0.035,0,1
SPRINT_0115,4,2,8.1,0.202,4,4.5,4,0,0,13.8,0,0.3,0.032,0,0
SPRINT_0116,3,2,16.7,0.062,3,2.7,4,0,1,8.1,0,3.6,-0.049,0,0
SPRINT_0117,6,1,18.4,0.095,1,3.9,4,0,1,83.0,0,-1.7,0.04,0,1
SPRINT_0118,3,1,22.0,0.346,3,4.5,6,1,0,97.7,1,4.5,-0.047,1,1
SPRINT_0119,6,2,31.9,0.34,2,3.0,7,0,0,40.5,0,-3.8,-0.026,1,1
SPRINT_0120,4,1,17.0,0.051,3,3.0,6,0,0,8.8,0,-4.8,-0.047,1,0
SPRINT_0121,3,1,17.0,0.336,1,3.5,7,1,0,6.6,0,4.0,-0.016,1,0
SPRINT_0122,8,2,27.2,0.242,1,3.5,5,1,0,89.1,0,-4.3,0.001,0,1
SPRINT_0123,7,1,19.8,0.31,0,4.2,8,1,0,46.4,0,4.9,0.03,1,1
SPRINT_0124,5,2,13.8,0.186,4,3.1,7,0,1,32.0,1,4.5,-0.016,1,0
SPRINT_0125,6,1,19.8,0.205,3,4.8,4,0,1,47.6,0,-3.6,0.021,0,1
SPRINT_0126,8,2,11.7,0.197,0,1.7,6,1,1,31.8,0,0.4,-0.031,1,0
SPRINT_0127,5,2,12.6,0.25,4,1.5,5,0,0,48.9,0,-3.2,0.025,0,1
SPRINT_0128,5,2,21.0,0.092,3,3.6,4,1,0,86.0,0,-0.7,-0.026,0,1
SPRINT_0129,3,1,18.9,0.059,2,2.5,5,1,0,59.2,0,-4.4,-0.036,0,1
SPRINT_0130,5,2,31.8,0.142,3,2.3,8,0,1,69.5,0,-2.8,-0.031,1,1
SPRINT_0131,7,1,17.4,0.261,1,2.5,6,1,1,36.5,0,-1.4,-0.032,1,0
SPRINT_0132,8,1,23.1,0.111,1,2.3,6,1,0,73.9,0,-0.6,0.001,1,1
SPRINT_0133,5,1,24.4,0.252,2,1.6,8,1,0,66.7,0,4.8,0.034,1,1
SPRINT_0134,3,1,8.3,0.341,0,4.7,6,0,1,12.0,0,3.1,-0.042,1,0
SPRINT_0135,7,2,25.3,0.078,4,2.2,7,1,1,57.3,1,2.4,0.021,1,1
SPRINT_0136,4,2,12.6,0.252,3,3.9,5,1,1,25.7,1,0.4,0.015,0,0
SPRINT_0137,8,1,33.0,0.183,1,4.0,4,1,0,80.4,0,3.4,0.037,0,1
SPRINT_0138,5,1,11.9,0.31,0,4.6,8,1,0,42.6,0,-1.6,-0.026,1,1
SPRINT_0139,3,2,18.8,0.103,2,1.6,7,1,0,99.5,0,2.1,-0.005,1,1
SPRINT_0140,4,1,10.2,0.258,1,4.4,4,1,1,9.3,1,4.9,0.043,0,0
SPRINT_0141,4,2,33.9,0.301,2,3.2,4,1,1,78.0,1,-1.9,0.016,0,1
SPRINT_0142,6,1,21.1,0.333,3,3.6,8,0,0,67.4,0,1.7,-0.011,1,1
SPRINT_0143,7,1,23.5,0.255,4,3.6,7,0,0,76.7,0,3.4,-0.037,1,1
SPRINT_0144,5,2,9.7,0.199,1,4.2,4,1,1,30.8,0,4.2,-0.024,0,0
SPRINT_0145,3,1,27.5,0.235,1,2.6,4,0,0,49.2,0,2.2,0.008,0,1
SPRINT_0146,6,2,13.5,0.311,3,3.9,7,0,1,79.7,1,-2.2,0.022,1,1
SPRINT_0147,7,1,31.3,0.221,0,3.2,6,1,1,23.3,0,-1.7,-0.038,1,0
SPRINT_0148,6,1,13.3,0.059,4,4.1,4,0,0,22.6,0,-4.8,0.01,0,0
SPRINT_0149,8,1,13.0,0.329,1,4.8,5,1,1,55.1,1,2.6,0.005,0,1
SPRINT_0150,7,2,9.0,0.257,4,2.2,7,1,0,52.4,1,-4.6,0.001,1,1
SPRINT_0151,7,1,20.3,0.253,1,4.8,4,1,1,28.2,1,3.6,0.019,0,0
SPRINT_0152,5,1,22.7,0.115,4,1.8,8,1,1,29.8,1,-3.8,0.034,1,0
SPRINT_0153,7,1,9.7,0.248,2,1.5,5,1,0,27.8,0,-3.3,-0.018,0,0
SPRINT_0154,6,1,28.2,0.168,1,1.6,4,0,1,77.2,0,-0.2,0.039,0,1
SPRINT_0155,7,2,19.8,0.245,4,2.6,5,1,0,65.2,0,2.4,-0.034,0,1
SPRINT_0156,5,2,21.6,0.082,0,3.6,5,0,0,83.2,0,-3.6,-0.033,0,1
SPRINT_0157,5,1,19.5,0.247,2,1.7,6,1,1,97.5,1,-0.6,-0.023,1,1
SPRINT_0158,8,2,18.4,0.35,2,1.5,5,1,0,47.4,0,-0.2,-0.038,0,1
SPRINT_0159,6,1,22.6,0.064,0,4.6,6,1,0,6.7,0,-2.9,-0.027,1,0
SPRINT_0160,4,1,12.0,0.343,4,4.2,7,0,0,4.8,0,-3.8,-0.039,1,0
SPRINT_0161,4,1,12.7,0.172,3,4.2,6,1,0,29.6,0,3.4,0.032,1,0
SPRINT_0162,7,2,30.4,0.311,0,4.4,8,1,0,93.3,0,0.0,-0.036,1,1
SPRINT_0163,8,2,32.6,0.285,4,3.8,4,1,0,52.3,0,-4.9,0.025,0,1
SPRINT_0164,3,2,17.7,0.22,0,1.8,7,1,1,27.2,0,3.0,-0.045,1,0
SPRINT_0165,7,2,15.0,0.272,0,2.8,7,0,0,39.9,0,4.8,0.045,1,0
SPRINT_0166,8,2,24.7,0.314,1,3.9,8,1,1,59.9,1,1.1,0.021,1,1
SPRINT_0167,6,2,18.6,0.171,4,2.4,6,0,1,65.3,0,0.0,-0.049,1,1
SPRINT_0168,6,2,8.7,0.148,3,3.8,4,1,0,15.4,0,3.8,0.026,0,0
SPRINT_0169,6,2,12.1,0.25,1,1.6,6,0,1,97.7,0,4.5,0.001,1,1
SPRINT_0170,6,2,26.6,0.292,0,2.5,5,0,1,54.5,0,2.5,0.028,0,1
SPRINT_0171,6,1,25.1,0.279,0,3.3,6,1,0,13.6,0,-0.5,0.002,1,0
SPRINT_0172,8,2,8.7,0.289,0,3.6,7,1,0,89.4,0,0.9,0.014,1,1
SPRINT_0173,8,2,13.8,0.181,4,3.4,4,0,0,7.5,0,2.0,0.029,0,0
SPRINT_0174,5,2,14.0,0.295,4,3.8,6,1,1,90.8,1,-3.1,-0.009,1,1
SPRINT_0175,4,2,25.5,0.086,1,1.5,4,1,1,99.7,0,-0.5,-0.05,0,1
SPRINT_0176,6,2,8.5,0.213,3,1.8,4,1,0,70.0,0,3.3,0.035,0,1
SPRINT_0177,3,2,10.7,0.052,1,4.4,5,0,0,77.0,0,1.5,-0.012,0,1
SPRINT_0178,8,2,28.8,0.147,2,3.7,5,1,1,33.7,0,-0.9,-0.0,0,0
SPRINT_0179,3,2,12.6,0.16,0,1.9,7,1,1,94.2,0,1.6,-0.049,1,1
SPRINT_0180,3,2,25.0,0.169,0,4.3,8,1,1,53.0,1,-3.8,-0.001,1,1
SPRINT_0181,3,2,14.2,0.259,0,2.3,4,0,1,73.2,0,-1.0,0.049,0,1
SPRINT_0182,5,2,10.6,0.167,1,3.1,8,1,0,92.4,0,2.9,-0.022,1,1
SPRINT_0183,8,1,14.3,0.185,1,2.0,7,0,1,97.5,0,-2.8,-0.01,1,1
SPRINT_0184,3,1,26.8,0.121,0,3.8,4,1,1,83.3,0,-3.1,0.019,0,1
SPRINT_0185,6,2,30.2,0.162,1,3.7,4,0,1,30.3,0,4.5,0.031,0,0
SPRINT_0186,7,2,29.6,0.118,4,2.2,8,1,1,96.7,1,-2.9,-0.008,1,1
SPRINT_0187,3,1,18.3,0.072,4,4.3,6,1,0,62.8,0,-2.4,-0.019,1,1
SPRINT_0188,5,2,25.4,0.231,1,2.8,5,0,0,93.1,0,4.7,0.044,0,1
SPRINT_0189,8,1,13.3,0.25,0,2.5,6,0,1,67.6,0,2.3,0.018,1,1
SPRINT_0190,5,1,15.6,0.236,1,2.0,8,0,1,30.7,0,2.0,-0.038,1,0
SPRINT_0191,3,1,31.3,0.189,1,2.4,5,1,0,37.0,0,3.5,-0.043,0,0
SPRINT_0192,8,1,8.3,0.164,1,1.6,6,1,0,55.0,0,-3.8,-0.002,1,1
SPRINT_0193,7,1,10.2,0.309,2,3.4,5,1,1,79.0,1,2.1,-0.028,0,1
SPRINT_0194,3,2,13.4,0.206,4,4.3,4,1,1,31.8,1,0.0,-0.025,0,0
SPRINT_0195,5,1,8.7,0.194,3,3.3,6,0,0,58.0,0,3.3,0.038,1,1
SPRINT_0196,4,2,12.7,0.058,3,2.2,5,1,0,34.6,0,0.1,-0.041,0,0
SPRINT_0197,6,2,23.2,0.152,2,1.6,5,1,0,81.6,0,1.2,0.022,0,1
SPRINT_0198,5,1,19.0,0.164,1,2.2,5,1,0,46.7,0,-0.2,-0.023,0,1
SPRINT_0199,8,1,31.2,0.17,2,2.9,6,1,0,7.7,0,-0.2,0.026,1,0
SPRINT_0200,3,2,29.3,0.224,2,4.0,7,1,0,16.6,0,2.7,0.022,1,0
SPRINT_0201,6,1,16.9,0.21,0,2.1,6,1,1,6.1,0,1.3,-0.049,1,0
SPRINT_0202,3,1,14.7,0.232,4,3.9,8,1,0,49.9,1,1.3,0.001,1,1
SPRINT_0203,8,2,17.9,0.279,3,4.4,6,0,0,10.6,0,-0.5,-0.036,1,0
SPRINT_0204,3,2,23.3,0.294,1,3.0,5,1,0,11.4,0,0.3,0.037,0,0
SPRINT_0205,4,1,15.0,0.265,3,4.2,4,1,0,94.1,0,2.5,0.037,0,1
SPRINT_0206,6,2,24.2,0.337,3,3.3,6,1,1,87.3,1,3.3,-0.008,1,1
SPRINT_0207,6,1,18.6,0.055,4,3.6,6,1,1,45.2,1,2.0,-0.006,1,1
SPRINT_0208,8,1,22.4,0.109,3,3.2,5,0,0,98.6,0,4.2,-0.02,0,1
SPRINT_0209,4,1,19.3,0.052,3,3.0,4,0,1,0.0,0,3.2,0.022,0,0
SPRINT_0210,5,2,15.7,0.244,2,2.3,4,0,1,61.4,0,0.6,-0.014,0,1
SPRINT_0211,3,2,32.7,0.319,4,2.5,8,0,1,61.6,1,1.7,-0.023,1,1
SPRINT_0212,7,2,27.9,0.123,0,2.5,6,0,1,45.7,0,4.3,-0.007,1,1
SPRINT_0213,3,2,11.6,0.328,1,3.4,4,0,1,39.7,0,1.2,-0.041,0,0
SPRINT_0214,3,2,30.6,0.068,3,1.9,4,1,1,45.5,0,3.2,0.025,0,1
SPRINT_0215,5,1,20.7,0.33,1,4.5,7,0,0,41.5,0,1.9,-0.049,1,1
SPRINT_0216,3,1,31.3,0.155,0,3.9,7,0,0,73.0,0,0.5,0.014,1,1
SPRINT_0217,4,1,28.8,0.08,1,2.8,4,1,0,13.5,0,-2.6,-0.032,0,0
SPRINT_0218,4,1,19.1,0.196,0,2.0,8,0,0,19.8,0,-0.7,-0.027,1,0
SPRINT_0219,6,2,8.6,0.127,2,4.4,4,1,0,18.1,0,4.7,0.014,0,0
SPRINT_0220,8,1,15.0,0.135,3,4.2,5,1,1,26.2,1,1.6,0.049,0,0
SPRINT_0221,7,2,22.1,0.142,0,3.9,6,0,0,52.5,0,0.6,0.028,1,1
SPRINT_0222,3,1,24.5,0.291,1,2.4,8,1,0,11.1,0,4.3,-0.027,1,0
SPRINT_0223,3,2,14.7,0.212,3,2.8,5,0,1,86.8,0,0.9,-0.032,0,1
SPRINT_0224,5,2,11.6,0.143,2,1.8,8,0,1,29.7,0,0.3,0.037,1,0
SPRINT_0225,8,1,29.7,0.233,3,2.1,5,1,0,16.3,0,2.6,-0.006,0,0
SPRINT_0226,4,1,33.6,0.265,0,4.1,6,1,1,67.6,0,2.1,-0.036,1,1
SPRINT_0227,7,1,21.7,0.132,2,3.9,6,0,1,3.8,0,-3.1,0.036,1,0
SPRINT_0228,6,1,12.5,0.174,1,3.5,7,1,1,62.0,1,-0.3,0.032,1,1
SPRINT_0229,4,2,15.1,0.087,2,4.5,5,1,1,69.8,1,-0.3,0.048,0,1
SPRINT_0230,8,1,8.5,0.104,2,3.4,7,0,0,21.5,0,-1.2,0.041,1,0
SPRINT_0231,6,1,31.8,0.254,4,3.0,5,0,1,4.2,0,0.2,0.035,0,0
SPRINT_0232,5,2,11.1,0.104,2,2.6,7,1,0,36.4,0,-0.9,-0.045,1,0
SPRINT_0233,5,1,23.0,0.208,2,4.6,6,0,0,9.9,0,-3.0,-0.04,1,0
SPRINT_0234,3,1,15.1,0.263,3,1.8,8,0,1,11.6,0,-0.9,0.007,1,0
SPRINT_0235,8,1,22.4,0.082,1,4.6,7,0,1,25.4,0,-4.3,0.003,1,0
SPRINT_0236,7,1,24.9,0.22,3,4.2,5,0,1,29.5,0,0.8,-0.004,0,0
SPRINT_0237,6,1,29.6,0.127,3,1.9,5,0,0,53.0,0,3.5,-0.01,0,1
SPRINT_0238,4,2,13.4,0.339,0,3.4,6,0,1,67.8,0,2.3,-0.007,1,1
SPRINT_0239,8,1,8.3,0.195,3,4.4,5,0,1,59.3,0,-1.4,0.007,0,1
SPRINT_0240,8,1,11.6,0.292,4,3.4,4,1,1,14.8,1,-4.1,-0.05,0,0
SPRINT_0241,5,1,31.4,0.215,4,4.5,8,0,1,17.2,1,-3.0,-0.024,1,0
SPRINT_0242,3,1,30.7,0.063,0,4.6,7,1,1,87.9,0,0.5,0.002,1,1
SPRINT_0243,3,1,23.5,0.24,1,2.9,8,1,0,55.8,0,-2.9,0.022,1,1
SPRINT_0244,6,2,23.6,0.335,1,2.7,6,1,1,87.0,1,0.4,-0.033,1,1
SPRINT_0245,5,1,25.3,0.23,3,4.6,7,0,1,37.2,1,-2.7,0.005,1,0
SPRINT_0246,8,2,12.6,0.296,3,3.7,7,0,1,61.4,1,3.5,0.021,1,1
SPRINT_0247,7,2,31.8,0.315,3,1.9,4,1,0,52.4,0,-1.0,-0.006,0,1
SPRINT_0248,5,1,18.9,0.118,1,1.6,6,0,1,31.9,0,-2.5,-0.047,1,0
SPRINT_0249,6,1,18.0,0.114,2,3.4,5,1,0,47.0,0,3.1,-0.005,0,1
SPRINT_0250,6,1,21.5,0.233,4,4.6,4,0,0,50.2,0,-1.6,-0.02,0,1
SPRINT_0251,5,1,9.2,0.173,2,4.3,4,0,1,20.1,0,-3.9,0.043,0,0
SPRINT_0252,6,2,12.3,0.302,2,3.7,8,1,1,31.5,1,0.7,-0.038,1,0
SPRINT_0253,5,1,27.2,0.32,1,2.0,8,1,1,79.1,1,0.8,0.015,1,1
SPRINT_0254,4,1,10.2,0.156,2,2.3,8,1,0,91.6,0,2.1,-0.045,1,1
SPRINT_0255,5,1,23.7,0.121,0,4.4,4,0,0,36.0,0,-2.6,-0.005,0,0
SPRINT_0256,5,1,14.4,0.284,3,2.1,5,1,0,30.7,0,-0.6,0.005,0,0
SPRINT_0257,6,1,18.1,0.132,0,2.4,7,0,0,19.5,0,-2.2,-0.02,1,0
SPRINT_0258,6,1,15.5,0.297,4,1.9,8,0,0,67.8,0,-4.2,-0.004,1,1
SPRINT_0259,3,2,17.2,0.177,3,3.7,5,0,0,32.3,0,3.8,-0.034,0,0
SPRINT_0260,3,2,26.7,0.25,2,4.6,6,1,1,98.8,1,2.3,-0.02,1,1
SPRINT_0261,4,1,15.7,0.079,4,2.4,8,1,1,32.6,1,-2.0,0.012,1,0
SPRINT_0262,3,1,22.7,0.237,3,3.1,7,1,0,39.4,0,1.0,-0.02,1,0
SPRINT_0263,5,1,20.4,0.186,2,3.6,6,0,1,60.3,0,-3.0,0.04,1,1
